,movieId,userId,tag,timestamp,Date,Month_Year
29,88140,121987,comic book,1314414585,2011-08-27 03:09:45,08/2011
40,858,62046,based on a book,1315949119,2011-09-13 21:25:19,09/2011
168,318,68702,based on a book,1338686233,2012-06-03 01:17:13,06/2012
462,318,5268,based on book,1180577779,2007-05-31 02:16:19,05/2007
514,180,64150,comic books,1173327102,2007-03-08 04:11:42,03/2007
530,6620,64150,comic books,1173327076,2007-03-08 04:11:16,03/2007
649,5816,31476,book was better,1392314632,2014-02-13 18:03:52,02/2014
654,44191,31476,based on a book,1392318134,2014-02-13 19:02:14,02/2014
682,1274,103872,comic book,1147086379,2006-05-08 11:06:19,05/2006
688,3793,103872,comic book,1147086435,2006-05-08 11:07:15,05/2006
690,4865,103872,comic book,1147086395,2006-05-08 11:06:35,05/2006
694,5464,103872,comic book,1147086480,2006-05-08 11:08:00,05/2006
695,6333,103872,comic book,1147086426,2006-05-08 11:07:06,05/2006
696,7373,103872,comic book,1147086418,2006-05-08 11:06:58,05/2006
698,8636,103872,comic book,1147086474,2006-05-08 11:07:54,05/2006
699,32587,103872,comic book,1147086369,2006-05-08 11:06:09,05/2006
703,37733,103872,comic book,1147086443,2006-05-08 11:07:23,05/2006
711,44191,103872,comic book,1147086339,2006-05-08 11:05:39,05/2006
1007,858,41518,based on a book,1290462981,2010-11-22 21:56:21,11/2010
1022,1197,41518,based on a book,1290470510,2010-11-23 00:01:50,11/2010
1243,2160,41518,true to book,1295369597,2011-01-18 16:53:17,01/2011
1366,3481,41518,based on a book,1290467688,2010-11-22 23:14:48,11/2010
1797,44195,41518,based on a book,1290470677,2010-11-23 00:04:37,11/2010
1947,63992,41518,based on a book,1325459380,2012-01-01 23:09:40,01/2012
2140,91500,41518,Book Faithful,1337695788,2012-05-22 14:09:48,05/2012
2344,1676,124425,different from book,1355167978,2012-12-10 19:32:58,12/2012
2956,1206,113540,based on a book,1375489299,2013-08-03 00:21:39,08/2013
3338,8644,113540,book was better,1373715444,2013-07-13 11:37:24,07/2013
3400,41566,113540,based on a book,1337547694,2012-05-20 21:01:34,05/2012
3567,91500,113540,based on a book,1369313390,2013-05-23 12:49:50,05/2013
4390,2160,16337,based on a book,1239789504,2009-04-15 09:58:24,04/2009
4433,318,125207,based on a book,1226907964,2008-11-17 07:46:04,11/2008
4621,17,3029,based on a book,1404049138,2014-06-29 13:38:58,06/2014
4641,4014,3029,based on a book,1404103568,2014-06-30 04:46:08,06/2014
4707,95510,3029,comic book,1404103513,2014-06-30 04:45:13,06/2014
4719,98809,3029,based on a book,1404103603,2014-06-30 04:46:43,06/2014
5400,253,92409,based on a book,1225282593,2008-10-29 12:16:33,10/2008
5420,2021,92409,based on a book,1225279929,2008-10-29 11:32:09,10/2008
5424,2167,92409,comic book,1225281261,2008-10-29 11:54:21,10/2008
5457,3793,92409,comic book,1225281197,2008-10-29 11:53:17,10/2008
5480,5254,92409,comic book,1225281284,2008-10-29 11:54:44,10/2008
5491,8636,92409,comic book,1225281179,2008-10-29 11:52:59,10/2008
5501,31696,92409,comic book,1225282065,2008-10-29 12:07:45,10/2008
5509,45499,92409,comic book,1225281228,2008-10-29 11:53:48,10/2008
5514,51077,92409,Comic Book,1225281336,2008-10-29 11:55:36,10/2008
5517,52722,92409,comic book,1225281111,2008-10-29 11:51:51,10/2008
5525,59315,92409,comic book,1225282331,2008-10-29 12:12:11,10/2008
5531,60684,92409,comic book,1237460836,2009-03-19 11:07:16,03/2009
5834,260,121052,comic book style,1137289274,2006-01-15 01:41:14,01/2006
5917,6305,53859,based on a book,1227780629,2008-11-27 10:10:29,11/2008
7183,5349,5063,based on comic book,1250111839,2009-08-12 21:17:19,08/2009
7184,5349,5063,comic book,1250111856,2009-08-12 21:17:36,08/2009
7339,356,29474,adapted from:book,1297877245,2011-02-16 17:27:25,02/2011
7340,356,29474,based on a book,1297877240,2011-02-16 17:27:20,02/2011
7445,3198,101379,based on a book,1273365130,2010-05-09 00:32:10,05/2010
7578,59315,106537,comic book,1284358657,2010-09-13 06:17:37,09/2010
7601,106782,106537,message of book mostly lost,1389594866,2014-01-13 06:34:26,01/2014
7626,58559,51255,comic book,1389095690,2014-01-07 11:54:50,01/2014
7631,63992,42124,based on a book,1236369735,2009-03-06 20:02:15,03/2009
7733,4993,122693,Based on a book,1275840772,2010-06-06 16:12:52,06/2010
7758,5952,122693,Based on a book,1275840842,2010-06-06 16:14:02,06/2010
7784,7153,122693,Based on a book,1275840823,2010-06-06 16:13:43,06/2010
7836,77561,122693,comic book,1275920301,2010-06-07 14:18:21,06/2010
8473,27706,120941,based on a book,1338013056,2012-05-26 06:17:36,05/2012
8474,27706,120941,book was better,1338013059,2012-05-26 06:17:39,05/2012
8496,72226,120941,based on a book,1338013297,2012-05-26 06:21:37,05/2012
8527,318,104508,based on a book,1254443116,2009-10-02 00:25:16,10/2009
8534,2497,104508,based on a book,1254581411,2009-10-03 14:50:11,10/2009
8548,36517,104508,based on a book,1254444607,2009-10-02 00:50:07,10/2009
8672,541,32234,based on a book,1246534032,2009-07-02 11:27:12,07/2009
8845,5445,36727,based on a book,1361560812,2013-02-22 19:20:12,02/2013
8862,44191,36727,based on a book,1346360865,2012-08-30 21:07:45,08/2012
9105,172,10573,book was better,1213898852,2008-06-19 18:07:32,06/2008
9169,838,10573,book was better,1144970670,2006-04-13 23:24:30,04/2006
9349,3355,10573,rare books,1179927683,2007-05-23 13:41:23,05/2007
9447,33004,10573,book was better,1179927924,2007-05-23 13:45:24,05/2007
9515,1884,35259,based on a book,1312729198,2011-08-07 14:59:58,08/2011
9595,2117,135418,better book,1189560309,2007-09-12 01:25:09,09/2007
9694,4993,98781,based on a book,1241116103,2009-04-30 18:28:23,04/2009
9760,48780,98781,based on a book,1172252789,2007-02-23 17:46:29,02/2007
9763,51662,98781,comic book,1241117003,2009-04-30 18:43:23,04/2009
9797,3148,359,the book was bettah,1238916171,2009-04-05 07:22:51,04/2009
9812,36517,359,'There's A Lotta These At Used Book Stores...Hmmm I Wonder Why It Sucks That Bad',1199188139,2008-01-01 11:48:59,01/2008
9975,5952,50019,based on a book,1421350494,2015-01-15 19:34:54,01/2015
10029,39,81114,based on a book,1411797549,2014-09-27 05:59:09,09/2014
10064,2161,81574,based on a book,1337306671,2012-05-18 02:04:31,05/2012
10069,2761,81574,based on a book,1337306654,2012-05-18 02:04:14,05/2012
10076,76093,81574,based on a book,1337306644,2012-05-18 02:04:04,05/2012
10285,72011,105214,adapted from:book,1264024029,2010-01-20 21:47:09,01/2010
10286,72011,105214,based on a book,1264024032,2010-01-20 21:47:12,01/2010
10596,2541,72766,based on a book,1240994879,2009-04-29 08:47:59,04/2009
10667,3440,72766,comic book,1166779616,2006-12-22 09:26:56,12/2006
10669,3556,72766,based on a book,1244274672,2009-06-06 07:51:12,06/2009
10703,3949,72766,based on a book,1240994114,2009-04-29 08:35:14,04/2009
10801,6333,72766,comic book,1166781792,2006-12-22 10:03:12,12/2006
10882,8644,72766,based on a book,1261643440,2009-12-24 08:30:40,12/2009
11017,56171,72766,based on a book,1240993720,2009-04-29 08:28:40,04/2009
11052,61240,72766,based on a book,1242921227,2009-05-21 15:53:47,05/2009
11057,63082,72766,based on a book,1245333958,2009-06-18 14:05:58,06/2009
11070,63992,72766,based on a book,1249556652,2009-08-06 11:04:12,08/2009
11086,67255,72766,based on a book,1261481405,2009-12-22 11:30:05,12/2009
11134,72641,72766,based on a book,1270479124,2010-04-05 14:52:04,04/2010
11170,318,97953,based on a book,1262767411,2010-01-06 08:43:31,01/2010
11406,82459,5475,based on a book,1294819626,2011-01-12 08:07:06,01/2011
11780,56171,134181,book adapation,1199399483,2008-01-03 22:31:23,01/2008
11781,56171,134181,book was better,1199399483,2008-01-03 22:31:23,01/2008
11809,153,34664,comic book,1161289723,2006-10-19 20:28:43,10/2006
11818,592,34664,comic book,1161289798,2006-10-19 20:29:58,10/2006
11844,5349,34664,comic book,1161289823,2006-10-19 20:30:23,10/2006
12075,4993,88932,based on a book,1311750769,2011-07-27 07:12:49,07/2011
12115,1073,31273,based on a book,1223304696,2008-10-06 14:51:36,10/2008
12155,2114,31273,based on a book,1223304794,2008-10-06 14:53:14,10/2008
12214,5349,31273,comic book,1223304734,2008-10-06 14:52:14,10/2008
12216,5816,31273,based on a book,1223305623,2008-10-06 15:07:03,10/2008
12261,56171,31273,based on a book,1267462929,2010-03-01 17:02:09,03/2010
12410,172,22377,book was better,1395595140,2014-03-23 17:19:00,03/2014
12776,7318,22377,based on a book,1373750969,2013-07-13 21:29:29,07/2013
